,age,job,marital,education,housing,loan,contact,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
798,30,student,single,high.school,no,no,cellular,1,999,1,failure,-1.7,94.027,-38.3,0.904,4991.6,no
799,42,blue-collar,married,basic.6y,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
800,38,admin.,single,university.degree,yes,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
801,29,admin.,married,university.degree,yes,yes,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
802,44,housemaid,married,basic.4y,yes,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
804,45,management,single,basic.9y,yes,no,cellular,3,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
805,51,management,married,university.degree,no,yes,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no
806,28,services,married,high.school,yes,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
807,29,technician,married,university.degree,yes,yes,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
808,28,technician,single,professional.course,yes,no,cellular,2,999,1,failure,-1.8,93.075,-47.1,1.483,5099.1,no
809,29,technician,single,professional.course,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
810,40,admin.,single,high.school,yes,no,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
811,43,blue-collar,married,basic.4y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
812,54,management,married,university.degree,no,yes,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
813,42,admin.,married,university.degree,yes,no,cellular,5,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,no
814,55,services,married,high.school,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
815,49,blue-collar,single,basic.4y,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
816,52,services,married,professional.course,yes,yes,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
817,32,admin.,married,high.school,no,no,cellular,8,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
818,23,admin.,single,university.degree,yes,yes,telephone,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
819,34,technician,married,professional.course,yes,yes,cellular,7,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
820,36,services,married,high.school,no,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
821,54,admin.,single,university.degree,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
822,39,services,divorced,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
823,50,housemaid,divorced,basic.4y,no,no,telephone,1,999,0,nonexistent,-1.1,94.199,-37.5,0.877,4963.6,no
824,30,services,single,high.school,yes,no,cellular,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
825,27,blue-collar,married,basic.9y,no,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
826,32,admin.,divorced,university.degree,yes,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
827,54,technician,married,university.degree,no,no,telephone,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
829,50,blue-collar,married,professional.course,yes,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
831,26,admin.,single,university.degree,yes,no,cellular,1,999,1,failure,-1.1,94.199,-37.5,0.8809999999999999,4963.6,no
832,45,admin.,single,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
833,28,technician,married,high.school,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
834,28,blue-collar,single,basic.4y,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
835,50,technician,married,professional.course,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
836,31,blue-collar,married,basic.6y,yes,no,telephone,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
837,34,admin.,single,university.degree,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
838,56,blue-collar,married,basic.4y,no,no,cellular,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
839,29,entrepreneur,married,basic.4y,no,no,cellular,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
840,58,admin.,married,university.degree,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
841,46,blue-collar,married,basic.4y,no,no,cellular,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
842,35,blue-collar,divorced,basic.9y,no,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
843,34,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
844,39,admin.,single,high.school,no,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
846,40,admin.,married,university.degree,yes,yes,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
847,54,blue-collar,married,basic.4y,yes,yes,cellular,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
848,25,admin.,single,university.degree,no,no,telephone,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
849,40,unemployed,married,professional.course,yes,no,cellular,3,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.773,5017.5,no
850,49,blue-collar,married,basic.4y,no,no,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
852,32,admin.,married,high.school,no,no,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
853,44,admin.,divorced,university.degree,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
854,41,admin.,married,university.degree,no,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes
855,30,technician,single,university.degree,yes,yes,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
856,27,blue-collar,single,basic.9y,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
857,41,blue-collar,married,basic.4y,yes,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
858,36,blue-collar,married,basic.9y,yes,no,telephone,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
859,54,entrepreneur,married,professional.course,yes,yes,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
860,30,blue-collar,single,professional.course,no,no,cellular,1,999,1,failure,-1.8,93.876,-40.0,0.6679999999999999,5008.7,no
862,42,management,married,high.school,no,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
863,36,services,divorced,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
864,45,admin.,married,university.degree,yes,no,telephone,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
865,38,technician,married,university.degree,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
866,38,admin.,single,professional.course,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
867,34,blue-collar,married,basic.4y,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
868,44,admin.,married,basic.9y,no,no,cellular,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
869,37,services,single,basic.9y,no,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
870,39,blue-collar,single,basic.9y,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
871,57,admin.,married,university.degree,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
872,34,technician,married,professional.course,yes,no,cellular,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
874,52,admin.,married,high.school,yes,no,cellular,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,no
875,23,technician,single,high.school,no,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
876,57,technician,married,basic.4y,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
877,50,admin.,married,university.degree,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
878,46,technician,married,professional.course,no,yes,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
879,43,blue-collar,single,basic.4y,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
880,38,management,divorced,university.degree,no,no,cellular,2,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,no
881,53,admin.,single,basic.6y,yes,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
883,28,services,married,high.school,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
884,25,blue-collar,single,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
885,56,services,divorced,high.school,no,no,telephone,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
886,56,technician,married,university.degree,no,no,cellular,19,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
887,33,services,single,high.school,yes,no,telephone,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
888,31,housemaid,single,professional.course,yes,yes,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
889,48,admin.,divorced,university.degree,no,no,cellular,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
890,45,self-employed,divorced,university.degree,yes,yes,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
891,24,blue-collar,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,no
892,33,blue-collar,married,basic.9y,yes,yes,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
893,38,admin.,married,high.school,no,no,telephone,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
894,48,housemaid,married,basic.4y,no,yes,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
895,28,entrepreneur,married,basic.9y,no,no,cellular,5,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
897,29,admin.,married,university.degree,yes,yes,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
898,38,blue-collar,married,basic.6y,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
900,31,unemployed,married,basic.9y,yes,no,telephone,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
901,34,blue-collar,married,basic.9y,yes,no,cellular,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
902,38,admin.,married,university.degree,yes,no,telephone,9,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
903,57,admin.,single,high.school,yes,no,telephone,5,12,1,success,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
905,77,retired,divorced,professional.course,no,no,cellular,1,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,no
906,29,blue-collar,single,basic.9y,yes,yes,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
907,46,management,married,university.degree,no,yes,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
908,21,student,single,high.school,yes,yes,cellular,2,999,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6,yes
909,43,management,married,university.degree,no,no,cellular,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.861,5076.2,no
910,43,admin.,married,basic.9y,no,no,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
911,31,technician,married,university.degree,no,no,cellular,2,12,3,failure,-1.1,94.601,-49.5,0.982,4963.6,no
913,44,technician,single,university.degree,no,yes,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
914,32,services,single,high.school,yes,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
915,43,self-employed,single,high.school,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
916,48,services,married,high.school,no,no,telephone,1,999,0,nonexistent,-1.1,94.199,-37.5,0.8809999999999999,4963.6,no
917,28,blue-collar,single,basic.6y,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
918,36,blue-collar,married,basic.9y,yes,yes,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
919,52,self-employed,divorced,basic.9y,yes,no,cellular,5,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
920,34,services,single,high.school,yes,no,cellular,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
921,37,admin.,married,high.school,yes,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
922,25,admin.,single,university.degree,no,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
923,48,technician,divorced,professional.course,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
924,36,self-employed,single,professional.course,yes,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
925,27,technician,single,professional.course,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
926,34,blue-collar,married,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
927,42,services,married,high.school,yes,yes,telephone,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
928,37,blue-collar,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
929,41,blue-collar,married,basic.9y,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
930,51,blue-collar,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
931,27,admin.,married,high.school,no,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
932,35,admin.,single,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
933,31,services,divorced,high.school,yes,yes,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
934,31,blue-collar,single,basic.9y,yes,no,telephone,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
935,31,blue-collar,married,basic.9y,no,no,telephone,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
937,33,management,married,university.degree,yes,no,cellular,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
938,41,blue-collar,married,basic.4y,yes,no,cellular,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
939,34,admin.,single,high.school,no,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
940,41,admin.,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
941,36,blue-collar,married,basic.6y,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
942,59,retired,married,professional.course,yes,no,telephone,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
943,56,management,married,basic.9y,yes,no,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
944,59,retired,married,professional.course,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
946,40,technician,married,basic.9y,yes,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
947,38,admin.,married,university.degree,yes,no,cellular,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,yes
948,34,admin.,married,professional.course,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
950,33,admin.,single,high.school,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
951,31,technician,single,high.school,yes,yes,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
952,29,blue-collar,divorced,basic.9y,yes,no,cellular,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
953,38,admin.,single,basic.9y,yes,no,telephone,5,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
954,24,admin.,single,high.school,yes,yes,cellular,1,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6019999999999999,5099.1,yes
955,34,admin.,single,basic.6y,no,no,cellular,11,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
956,27,admin.,married,high.school,yes,yes,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
957,32,blue-collar,married,high.school,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
958,49,admin.,married,high.school,yes,no,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
959,36,technician,divorced,basic.9y,no,no,telephone,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
960,46,blue-collar,single,basic.9y,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
961,47,services,divorced,high.school,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
962,37,services,married,high.school,yes,yes,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
964,36,technician,married,university.degree,yes,yes,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
965,30,technician,single,university.degree,yes,no,cellular,2,15,4,failure,-1.1,94.199,-37.5,0.879,4963.6,yes
966,32,entrepreneur,married,high.school,yes,no,cellular,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
967,54,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
968,51,blue-collar,married,basic.9y,no,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
969,28,technician,divorced,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
970,54,management,married,university.degree,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.264,5099.1,yes
971,31,admin.,married,high.school,yes,no,telephone,13,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
972,57,admin.,married,basic.6y,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,no
973,49,unemployed,married,professional.course,no,no,cellular,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
974,45,blue-collar,married,basic.6y,yes,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
975,33,management,married,university.degree,yes,yes,cellular,8,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,no
976,53,services,married,university.degree,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
977,26,student,single,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,5099.1,yes
978,31,technician,married,university.degree,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
979,32,blue-collar,married,basic.9y,yes,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
980,29,technician,married,high.school,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
981,31,technician,single,high.school,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
983,49,blue-collar,married,basic.9y,no,yes,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
984,26,admin.,single,university.degree,yes,yes,cellular,7,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
986,56,retired,married,basic.9y,yes,yes,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
987,29,admin.,single,university.degree,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
988,31,technician,married,basic.9y,yes,no,cellular,5,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
989,50,blue-collar,married,basic.9y,yes,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
990,37,technician,married,professional.course,yes,no,telephone,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.955,5228.1,no
991,42,blue-collar,married,basic.4y,yes,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
992,30,services,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
993,25,blue-collar,married,basic.6y,yes,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
994,35,self-employed,single,university.degree,no,yes,cellular,1,3,1,success,-0.1,93.2,-42.0,4.12,5195.8,no
995,37,entrepreneur,married,high.school,no,no,cellular,1,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
996,30,entrepreneur,married,high.school,yes,no,cellular,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
997,33,blue-collar,married,basic.6y,yes,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
998,36,technician,married,university.degree,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
999,46,services,married,high.school,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1000,51,unemployed,married,basic.6y,no,no,cellular,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
1001,33,technician,single,professional.course,yes,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
1003,40,blue-collar,divorced,high.school,no,no,telephone,6,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1004,25,blue-collar,single,high.school,no,no,cellular,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,yes
1005,38,management,married,basic.9y,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
1006,54,admin.,single,university.degree,no,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.264,5099.1,yes
1007,50,admin.,married,basic.6y,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1008,36,management,married,university.degree,yes,no,cellular,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,no
1009,43,admin.,single,university.degree,yes,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1010,57,management,divorced,university.degree,no,no,cellular,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1011,38,blue-collar,married,basic.4y,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
1012,27,admin.,single,high.school,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1013,35,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1014,28,technician,single,high.school,yes,no,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
1015,57,admin.,married,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1016,40,blue-collar,married,basic.4y,no,no,cellular,5,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
1017,43,blue-collar,married,basic.6y,no,yes,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
1018,34,technician,divorced,professional.course,yes,no,cellular,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
1020,48,admin.,divorced,high.school,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
1021,35,admin.,single,high.school,yes,yes,cellular,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
1022,27,admin.,single,university.degree,no,no,cellular,1,1,1,success,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
1023,25,admin.,single,high.school,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1024,42,technician,married,professional.course,yes,yes,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
1025,47,admin.,divorced,university.degree,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1026,49,entrepreneur,married,university.degree,yes,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
1027,36,admin.,single,basic.9y,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,yes
1028,35,technician,married,professional.course,no,no,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
1029,29,blue-collar,married,basic.4y,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
1030,45,technician,married,professional.course,no,no,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
1031,53,blue-collar,married,basic.6y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1032,41,admin.,married,university.degree,no,yes,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1033,50,management,married,high.school,no,no,telephone,17,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1034,31,management,married,basic.9y,no,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
1035,46,services,married,high.school,no,no,cellular,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
1036,36,blue-collar,married,high.school,no,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
1037,43,blue-collar,single,professional.course,no,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
1038,48,entrepreneur,married,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1040,21,services,single,high.school,yes,yes,cellular,2,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,no
1041,56,services,married,high.school,no,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
